,V1,GABAergic,Glutamatergic,Non-neuronal
,1985,0,0,0
Astrocyte,0,0,0,1187
Endothelial,0,0,0,70
IT,0,0,21841,0
L4 IT,0,0,3725,0
L5 ET,0,0,158,0
L5/6 IT Car3,0,0,1053,0
L5/6 NP,0,0,816,0
L6 CT,0,0,2556,0
L6b,0,0,1080,0
LAMP5,0,2434,0,0
Microglia,0,0,0,750
Oligodendrocyte,0,0,0,1930
OPC,0,0,0,773
PAX6,0,325,0,0
Pericyte,0,0,0,32
PVALB,0,2800,0,0
SST,0,2358,0,0
VIP,0,3533,0,0
VLMC,0,0,0,11
